symbol,date,pattern_name,pattern_direction,price_at_pattern,forward_1d_return,forward_5d_return,forward_10d_return,forward_20d_return,backward_1d_return,backward_5d_return
ABG,2025-07-21,shooting_star,Bearish,231.77,0.008844975622384186,-0.01108857919489158,,,0.0078709340754914,-0.11981619322497336
ABG,2025-07-22,shooting_star,Bearish,233.82,0.02010093234111717,-0.05769395261312112,,,0.008844975622384186,-0.05835447625951435
ABG,2025-07-31,shooting_star,Bearish,222.12,,,,,0.000540540540540561,-0.04493270843186993
ABG,2025-06-23,bullish_engulfing,Bullish,239.44,0.027355496157701352,-0.003758770464416997,0.061184430337454083,-0.02347143334447045,0.007659287938725667,0.029893758871349256
ABG,2025-07-01,bullish_engulfing,Bullish,248.92,0.04025389683432432,0.048569821629439194,-0.0032540575285231153,-0.10814719588622847,0.04351471451328916,0.011911053294849296
ABG,2025-07-15,bearish_engulfing,Bearish,248.31,-0.0008054448068945618,-0.05835447625951435,-0.11268172848455556,,-0.057002886222087164,-0.02274784525168248
ABIG,2025-06-12,doji,Bearish,29.2701,-0.016245246856006652,-0.024130426612823285,0.015691781032521206,0.03354959497917668,0.003755066768173515,0.015966622816304035
ABIG,2025-07-09,hammer,Bullish,30.2852,0.00027736320050723585,-0.004685456922853397,0.013570985167672705,,0.008612363704182335,0.01407337710824416
ABL,2025-07-03,hammer,Bullish,5.39,-0.0074211502782931425,-0.08534322820037106,-0.06122448979591839,,0.011257035647279477,-0.009191176470588366
ABL,2025-07-07,shooting_star,Bearish,5.35,0.024299065420560897,-0.09719626168224292,-0.02429906542056073,,-0.0074211502782931425,0.15301724137931036
ABL,2025-07-15,shooting_star,Bearish,4.86,0.030864197530864085,0.09465020576131686,0.09876543209876533,,0.006211180124223654,-0.11313868613138688
ABL,2025-06-13,bullish_engulfing,Bullish,6.06,0.0016501650165017616,-0.10066006600660057,-0.15181518151815182,-0.19801980198019792,0.037671232876712285,0.001652892561983436
ABL,2025-06-20,bearish_engulfing,Bearish,5.49,-0.007285974499089259,-0.15482695810564673,-0.02550091074681249,-0.04918032786885254,-0.033450704225352026,-0.05993150684931501
ABL,2025-06-26,bullish_engulfing,Bullish,5.44,-0.14705882352941188,-0.009191176470588366,-0.09375000000000011,-0.034926470588235364,0.024482109227872088,-0.042253521126760445
ABL,2025-07-07,bearish_engulfing,Bearish,5.35,0.024299065420560897,-0.09719626168224292,-0.02429906542056073,,-0.0074211502782931425,0.15301724137931036
ABL,2025-07-24,bearish_engulfing,Bearish,5.32,-0.013157894736842158,0.016917293233082678,,,-0.022058823529411783,0.041095890410958895
ABLD,2025-06-09,shooting_star,Bearish,28.4105,0.008053360553316544,0.0032663979866598774,0.00940497351331383,0.023396279544534587,0.0008666274453161432,0.012155629103682694
ABLD,2025-06-11,hammer,Bullish,28.6594,0.001416638171071193,-0.006413253592189701,0.0027111523618777817,0.014560667704138863,0.0007018327961927454,0.018439615500790752
ABLD,2025-06-17,shooting_star,Bearish,28.3917,0.002955088987274445,-0.0007079533807415315,0.0242747000003522,0.01777632195324689,-0.0039153361189756715,-0.008645462703348143
ABLD,2025-06-23,hammer,Bullish,28.5923,0.002986818129356502,-0.002518160483766704,0.014115688489558282,0.012160616669522901,0.005524842448795976,0.00500175746924437
ABLD,2025-06-24,doji,Bearish,28.6777,-0.010673798805343549,0.005659449676926613,0.013860944217981125,0.020653678642289935,0.002986818129356502,0.006118589777324103
ABLD,2025-06-25,evening_star,Bearish,28.3716,0.012882600910769954,0.025000352465141158,0.02896558530361346,0.026085945100029543,-0.010673798805343549,-0.0007079533807415315
ABLD,2025-07-25,hammer,Bullish,29.14,-0.005833905284831905,,,,0.0009721177396030306,0.007607192254495119
ABLD,2025-06-12,bullish_engulfing,Bullish,28.7,-0.008710801393728223,-0.00922648083623697,-0.00833101045296169,0.012557491289198678,0.001416638171071193,0.018821574878060927
ABLD,2025-06-30,bullish_engulfing,Bullish,28.5203,0.01120955950673734,0.0166758414182179,0.006034298376945557,0.020609881382734455,0.0020870738451700447,-0.002518160483766704
ABLG,2025-07-29,shooting_star,Bearish,30.3572,-0.01675385081628074,,,,0.0017224880382774835,-0.006704382225043504
ABLG,2025-06-06,bullish_engulfing,Bullish,31.0198,0.002304979400254042,-0.012553272425998827,-0.016092947085409908,0.0018633260046808909,0.0017762104066552898,
ABLG,2025-06-23,bullish_engulfing,Bullish,30.5206,0.01626442468365621,0.017555356054599132,0.018249968873482125,0.0013597373577190226,0.010595815977166025,-0.0035846740493104853
ABLLL,2025-06-11,hammer,Bullish,25.04,-0.0067851437699679865,-0.005591054313099065,-0.009984025559105431,-0.014776357827475937,0.00039952057530954897,0.09584724659626508
ABLLL,2025-06-12,evening_star,Bearish,24.8701,-0.00844789526379068,0.009244031990221216,-0.04222339274872238,-0.005637291365937415,-0.0067851437699679865,0.02662951496388026
ABLLL,2025-07-03,doji,Bearish,24.9,-0.0012048192771083367,-0.009236947791164534,-0.014457831325301183,,0.0008038585209003044,0.004437273093989489
ABLLL,2025-07-17,shooting_star,Bearish,24.75,-0.008484848484848519,0.010101010101010102,0.008484848484848519,,0.0,-0.0012106537530266802
ABLLL,2025-07-28,hammer,Bullish,24.92,0.002006420545746274,,,,0.0,0.009315512353179442
ABLLL,2025-06-25,bearish_engulfing,Bearish,24.83,-0.0016109544905356082,0.0020136931131695818,-0.0020136931131694387,0.006846556584776549,-0.014682539682539722,0.007298144835112229
ABLLL,2025-07-09,bearish_engulfing,Bearish,24.79,-0.0004033884630898754,-0.0016135538523597882,0.009346510689794273,,-0.0052166934189407125,0.0028317152103559985
ABLLW,2025-06-03,hammer,Bullish,1.6093,-0.3998632946001367,-0.26054806437581557,-0.35375629155533456,-0.26054806437581557,0.011057360055286838,
ABLLW,2025-06-11,shooting_star,Bearish,1.19,-0.07563025210084022,-0.2227731092436974,-0.28159663865546214,-0.07563025210084022,0.0,0.2321391592462207
ABLLW,2025-06-16,hammer,Bullish,1.14,-0.08771929824561392,-0.2105263157894736,0.0701754385964913,-0.01754385964912263,-0.008695652173913052,0.0754716981132074
ABLLW,2025-06-24,doji,Bullish,0.9,0.02222222222222224,0.3555555555555555,0.2999999999999999,0.3444444444444444,-0.09090909090909088,-0.2105263157894736
ABLLW,2025-06-26,doji,Bullish,0.8549,0.18142472803836707,0.3919756696689671,0.2867001988536672,0.356883846063867,-0.07076086956521743,-0.07568385771434756
ABLLW,2025-07-02,hammer,Bullish,1.19,0.0,-0.016806722689075647,-0.05042016806722694,,-0.024590163934426253,0.2934782608695651
ABLLW,2025-07-07,shooting_star,Bearish,1.19,0.019411764705882455,-0.0672268907563024,-0.042016806722689114,,0.0,0.17821782178217815
ABLLW,2025-07-15,doji,Bullish,1.1,0.018181818181818195,0.08181818181818168,0.018181818181818195,,-0.009009009009009016,-0.09323221498639846
ABLLW,2025-07-09,bearish_engulfing,Bearish,1.17,0.0,-0.04273504273504258,0.03418803418803422,,-0.035528810485533045,-0.04098360655737709
ABLV,2025-06-03,doji,Bullish,1.23,0.02040650406504075,-0.06504065040650413,-0.10569105691056901,-0.2008130081300813,-0.008064516129032265,
ABLV,2025-06-04,doji,Bearish,1.2551,-0.035933391761612726,-0.01999840650147408,-0.14747828858258308,-0.2829256632937615,0.02040650406504075,
ABLV,2025-06-05,shooting_star,Bearish,1.21,-0.1157024793388429,-0.10743801652892554,-0.14876033057851235,-0.2826446280991735,-0.035933391761612726,
ABLV,2025-06-10,doji,Bullish,1.15,0.06956521739130442,-0.043478260869565064,-0.08695652173913032,-0.24599999999999997,-0.033613445378151294,-0.06504065040650413
